2025-12-06 23:21:02 | werkzeug   | INFO     |_internal.py:97 | [33mPress CTRL+C to quit[0m
2025-12-06 23:21:02 | werkzeug   | INFO     |_internal.py:97 |  * Restarting with stat
2025-12-06 23:21:02 | root       | INFO     |runme.py:13 | Start class: Main
2025-12-06 23:21:02 | werkzeug   | WARNING  |_internal.py:97 |  * Debugger is active!
2025-12-06 23:21:02 | werkzeug   | INFO     |_internal.py:97 |  * Debugger PIN: 124-328-083
2025-12-06 23:21:05 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:21:05] "[36mGET / HTTP/1.1[0m" 304 -
2025-12-06 23:21:05 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:21:05] "GET /js/main_temp.js HTTP/1.1" 200 -
2025-12-06 23:21:07 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:21:07] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:21:07 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:21:07 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:21:07] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:21:27 | root       | INFO     |runme.py:13 | Start class: Main
2025-12-06 23:21:28 | werkzeug   | INFO     |_internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:13579
 * Running on http://192.168.1.110:13579
2025-12-06 23:21:28 | werkzeug   | INFO     |_internal.py:97 | [33mPress CTRL+C to quit[0m
2025-12-06 23:21:28 | werkzeug   | INFO     |_internal.py:97 |  * Restarting with stat
2025-12-06 23:21:28 | root       | INFO     |runme.py:13 | Start class: Main
2025-12-06 23:21:28 | werkzeug   | WARNING  |_internal.py:97 |  * Debugger is active!
2025-12-06 23:21:28 | werkzeug   | INFO     |_internal.py:97 |  * Debugger PIN: 124-328-083
2025-12-06 23:21:30 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:21:30] "[36mGET / HTTP/1.1[0m" 304 -
2025-12-06 23:21:30 | werkzeug   | INFO     |_internal.py:97 | 192.168.1.110 - - [06/Dec/2025 23:21:30] "GET /js/main_temp.js HTTP/1.1" 200 -
